Gene stable ID	Anopheles darlingi gene stable ID	Anopheles dirus gene stable ID	Anopheles epiroticus gene stable ID	Anopheles farauti gene stable ID	Anopheles funestus gene stable ID	Anopheles maculatus gene stable ID
AGAP004677		ADIR005605	AEPI010901		AFUN006515	AMAM022086
AGAP004678				AFAF017107	AFUN019002	AMAM001519
AGAP004679		ADIR009850	AEPI010667		AFUN006512	AMAM021240
AGAP004680						
AGAP004681						
AGAP004682	ADAC000055	ADIR003907		AFAF005580	AFUN006302	AMAM009609
AGAP012372	ADAC008601	ADIR000531	AEPI007061	AFAF003686	AFUN004931	AMAM007612
AGAP004685	ADAC000050	ADIR003913	AEPI011023	AFAF015260	AFUN009136	AMAM017348
AGAP004685	ADAC000050	ADIR003913	AEPI011023	AFAF015260	AFUN009136	AMAM007165
AGAP004685	ADAC000050	ADIR003914	AEPI011023	AFAF015260	AFUN009136	AMAM017348
AGAP004685	ADAC000050	ADIR003914	AEPI011023	AFAF015260	AFUN009136	AMAM007165
AGAP029198	ADAC006198	ADIR008311	AEPI008330	AFAF019267	AFUN002343	AMAM017121
AGAP004687	ADAC006468	ADIR008476	AEPI002604	AFAF015500	AFUN011440	AMAM017193
AGAP004689		ADIR009831	AEPI008251	AFAF005108	AFUN006523	AMAM006282
AGAP004690		ADIR009832	AEPI008250	AFAF015609	AFUN006524	AMAM022150
AGAP011067	ADAC000140	ADIR002306	AEPI002096	AFAF011509	AFUN004151	
AGAP004692	ADAC011106	ADIR005604	AEPI008248	AFAF015111	AFUN006528	AMAM002663
AGAP012225	ADAC003170	ADIR009526	AEPI011206	AFAF019414	AFUN005356	AMAM018987
AGAP000558	ADAC003784	ADIR001482	AEPI003028	AFAF018741	AFUN020899	AMAM000900
AGAP004695		ADIR011711		AFAF019173	AFUN000507	AMAM014990
AGAP029440	ADAC010225	ADIR006747		AFAF018848	AFUN004447	AMAM005148
AGAP003207	ADAC000035	ADIR002838	AEPI005189	AFAF002819	AFUN006175	AMAM007125
AGAP000983	ADAC004177	ADIR001243	AEPI007596	AFAF016886	AFUN003870	AMAM020972
AGAP006727	ADAC005448	ADIR003659	AEPI015464	AFAF006765	AFUN000373	AMAM001285
AGAP006727	ADAC005448	ADIR003661	AEPI015464	AFAF006765	AFUN000373	AMAM001285
AGAP007725	ADAC006706	ADIR007025	AEPI001795	AFAF015848	AFUN003367	AMAM014832
AGAP004703	ADAC007885	ADIR009111	AEPI008234	AFAF014099	AFUN000496	AMAM022673
AGAP004703	ADAC007885	ADIR009111	AEPI008234	AFAF014099	AFUN000496	AMAM016815
AGAP009758	ADAC008307	ADIR005099	AEPI009056	AFAF006113	AFUN000833	
AGAP004706					AFUN011918	
AGAP011252	ADAC000009	ADIR002054	AEPI001330	AFAF006647	AFUN022238	AMAM011640
AGAP008658	ADAC004124	ADIR006841	AEPI007065	AFAF020859	AFUN019543	AMAM020522
AGAP008658	ADAC004124	ADIR006841	AEPI007065	AFAF020859	AFUN020489	AMAM020522
AGAP004709		ADIR009130		AFAF014302	AFUN014072	AMAM006366
AGAP004710	ADAC007887	ADIR009128			AFUN018560	
AGAP001185	ADAC010522	ADIR010046	AEPI006950	AFAF016852	AFUN009224	AMAM006193
AGAP009548	ADAC009962	ADIR005692	AEPI004153	AFAF003412	AFUN021878	
AGAP009548	ADAC009962	ADIR005692	AEPI004153	AFAF003412	AFUN019206	
AGAP004712						
AGAP010393	ADAC001300	ADIR011625	AEPI000681	AFAF017006	AFUN002634	AMAM007181
AGAP006600	ADAC010150	ADIR007379	AEPI008263	AFAF002805	AFUN002708	
AGAP004716		ADIR009126	AEPI008491		AFUN020962	AMAM011515
AGAP004716		ADIR009126	AEPI008491		AFUN020963	AMAM011515
AGAP004717	ADAC001700		AEPI008490	AFAF008951	AFUN020044	AMAM021028
AGAP007169	ADAC008760	ADIR007948	AEPI005053	AFAF000099	AFUN021381	AMAM013508
AGAP011782	ADAC006638	ADIR016126	AEPI009822	AFAF020733		AMAM016377
AGAP008192						
AGAP004288	ADAC006997	ADIR005557	AEPI009550	AFAF004427	AFUN001458	
AGAP004729	ADAC000853	ADIR009114	AEPI014083	AFAF004282	AFUN000471	AMAM013102
AGAP004722	ADAC008444	ADIR014791	AEPI008484		AFUN018689	
AGAP028395		ADIR007407	AEPI008814	AFAF012122	AFUN003116	AMAM005023
AGAP008629	ADAC003340	ADIR000697		AFAF017531	AFUN006630	AMAM021693
